Match ID,Innings,Over,runs_in_over,wickets_in_over,balls_in_over,target_score,cum_runs_before_over,cum_wickets_before_over,cum_balls_before_over,overs_completed_before,balls_remaining_before_over,run_rate_so_far,runs_remaining,overs_remaining,req_run_rate,runs_last_over,runs_last_3_overs,wickets_last_3_overs,danger_over
335985,1,1,8,0,6,166,0,0,0,0,120,0.0,166,19,8.736842105263158,0.0,0.0,0.0,0
335985,1,2,5,1,6,166,8,0,6,1,114,8.0,158,18,8.777777777777779,8.0,8.0,0.0,1
335985,1,3,6,0,6,166,13,1,12,2,108,6.5,153,17,9.0,5.0,13.0,1.0,0
335985,1,4,3,1,6,166,19,1,18,3,102,6.333333333333333,147,16,9.1875,6.0,19.0,1.0,1
335985,1,5,19,0,6,166,22,2,24,4,96,5.5,144,15,9.6,3.0,14.0,2.0,1
335985,1,6,6,1,6,166,41,2,30,5,90,8.2,125,14,8.928571428571429,19.0,28.0,1.0,1
335985,1,7,7,0,6,166,47,3,36,6,84,7.833333333333333,119,13,9.153846153846153,6.0,28.0,2.0,0
335985,1,8,6,0,6,166,54,3,42,7,78,7.714285714285714,112,12,9.333333333333334,7.0,32.0,1.0,0
335985,1,9,12,0,6,166,60,3,48,8,72,7.5,106,11,9.636363636363637,6.0,19.0,1.0,1
335985,1,10,2,0,6,166,72,3,54,9,66,8.0,94,10,9.4,12.0,25.0,0.0,0
335985,1,11,7,0,6,166,74,3,60,10,60,7.4,92,9,10.222222222222221,2.0,20.0,0.0,0
335985,1,12,13,0,6,166,81,3,66,11,54,7.363636363636363,85,8,10.625,7.0,21.0,0.0,1
335985,1,13,3,0,6,166,94,3,72,12,48,7.833333333333333,72,7,10.285714285714286,13.0,22.0,0.0,0
335985,1,14,2,1,6,166,97,3,78,13,42,7.461538461538462,69,6,11.5,3.0,23.0,0.0,1
335985,1,15,6,0,6,166,99,4,84,14,36,7.071428571428571,67,5,13.4,2.0,18.0,1.0,0
335985,1,16,13,0,6,166,105,4,90,15,30,7.0,61,4,15.25,6.0,11.0,1.0,1
335985,1,17,11,1,6,166,118,4,96,16,24,7.375,48,3,16.0,13.0,21.0,1.0,1
335985,1,18,20,0,6,166,129,5,102,17,18,7.588235294117647,37,2,18.5,11.0,30.0,1.0,1
335985,1,19,9,1,6,166,149,5,108,18,12,8.277777777777779,17,1,17.0,20.0,44.0,1.0,1
335985,1,20,7,1,6,166,158,6,114,19,6,8.31578947368421,8,0,0.0,9.0,40.0,2.0,1
335985,2,1,10,0,6,166,0,0,0,0,120,0.0,166,19,8.736842105263158,0.0,0.0,0.0,0
335985,2,2,1,0,6,166,10,0,6,1,114,10.0,156,18,8.666666666666666,10.0,10.0,0.0,0
335985,2,3,11,0,6,166,11,0,12,2,108,5.5,155,17,9.117647058823529,1.0,11.0,0.0,0
335985,2,4,5,0,6,166,22,0,18,3,102,7.333333333333333,144,16,9.0,11.0,22.0,0.0,0
335985,2,5,10,1,6,166,27,0,24,4,96,6.75,139,15,9.266666666666667,5.0,17.0,0.0,1
335985,2,6,3,0,6,166,37,1,30,5,90,7.4,129,14,9.214285714285714,10.0,26.0,1.0,0
335985,2,7,6,0,6,166,40,1,36,6,84,6.666666666666667,126,13,9.692307692307692,3.0,18.0,1.0,0
335985,2,8,8,0,6,166,46,1,42,7,78,6.571428571428571,120,12,10.0,6.0,19.0,1.0,0
335985,2,9,15,1,6,166,54,1,48,8,72,6.75,112,11,10.181818181818182,8.0,17.0,0.0,1
335985,2,10,7,1,6,166,69,2,54,9,66,7.666666666666667,97,10,9.7,15.0,29.0,1.0,1
335985,2,11,4,0,6,166,76,3,60,10,60,7.6,90,9,10.0,7.0,30.0,2.0,0
335985,2,12,14,0,6,166,80,3,66,11,54,7.2727272727272725,86,8,10.75,4.0,26.0,2.0,1
